filename,Young Little Kid (Kelly),In_Europe(Alex),Board Games (Kelly),Kelly’s Husband (Kelly),Close up pictures of people ~ selfies (Kelly),Vertical lines emphasis (Alex),Framing (Alex),One Point Perspective (Alex),Flat Perspective (Kelly),Vast color distribution (Kelly)
1,Y,N,N,N,N,N,N,Y,Y,N
2,Y,N,N,N,N,Y,N,Y,N,N
3,N,N,N,N,N,N,Y,Y,N,N
4,N,N,N,N,N,N,N,Y,N,N
5,N,N,N,N,N,N,Y,Y,N,N
6,N,N,N,N,N,N,N,Y,Y,N
7,N,N,N,N,N,N,Y,Y,N,N
8,N,N,N,N,N,N,N ,N,Y,N
9,N,N,N,N,N,N,Y,Y,N,N
10,N,N,N,N,N,N,N,Y,N,N
11,N,N,N,N,N,N,N,Y,N,N
12,N,N,N,N,N,Y,N,Y,N,N
13,N,N,N,N,N,Y,Y,Y,Y,N
14,N,N,N,N,N,Y,Y,Y,Y,N
15,N,N,N,N,N,Y,Y,Y,N,N
16,N,N,N,N,N,N,N ,Y,N,N
17,Y,N,N,N,N,Y,N,N,Y,N
18,N,N,N,N,N,Y,N,Y,N,N
19,N,N,N,N,N,Y,N,Y,N,N
20,N,N,N,N,N,Y,Y,N,N,N
21,N,N,N,N,N,Y,Y,Y,N,N
22,N,N,N,N,N,Y,Y,Y,N,N
23,N,N,N,N,N,Y,N,Y,N,N
24,N,N,N,N,N,Y,N,Y,N,N
25,N,N,N,N,N,Y,N,Y,N,N
26,N,N,N,N,N,Y,N,Y,N,N
27,N,N,N,N,N,Y,N,Y,N,N
28,N,N,N,N,N,Y,N,Y,N,N
29,N,Y,N,N,N,N,N,Y,Y,N
30,N,Y,N,N,N,N,N,Y,N,N
31,N,Y,N,N,N,Y,N,Y,N,N
32,N,Y,N,N,N,Y,N,Y,N,N
33,N,Y,N,N,N,N,N,N,Y,N
34,N,Y,N,N,N,Y,N,Y,N,N
35,N,Y,N,N,N,N,N,Y,N,N
